楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
11,3.2.2,126.93,"温江永宁镇芙蓉大道,康顺路800号 保利西子城",159.0,"{'开金路中 665米', '华西医院温江院区 486米', '成都医学城三医创新中心 759米', '宁泰路康顺路口 428米', '芙蓉大道中 174米', '永宁客运中心 824米'}",set()
32,3.1.2,96.63,天府新区南湖美岸路一段66号 中信城左岸,172.0,"{'地铁南湖立交站 235米', '瑞祥路 750米'}",{'南湖立交 232米'}
32,3.2.2,110.02,金牛茶店子花照壁西顺街198号 首开龙湖紫宸(一期),295.0,"{'中环花照壁东街口 532米', '地铁茶店子站 449米', '银河北街北 975米'}",{'茶店子 516米'}
3,4.2.2,172.0,新都新都新城区物流大道666号 传化国际新城,280.0,"{'物流园区公交首末站 126米', '物流大道蓉都大道路口 674米', '蓉都大道物流大道路口 878米'}",set()
37,3.2.1,88.96,温江金马镇科源路1299号 恒大御景一期,90.0,"{'金泉路 370米', '滨河公园 462米', '金马旅游区 359米', '大朗路 201米', '石油苑 988米', '科源路新村路口 667米', '双新路口 868米', '金马湖大桥东 621米'}",set()
30,2.1.1,76.36,金牛花牌坊马家花园路16号 中铁鹭岛艺术城,211.0,"{'西门车站 994米', '地铁花牌坊站 558米', '金仙桥 834米', '地铁沙湾站 766米', '花牌坊街 960米', '西体北路北 677米'}","{'沙湾 792米', '花牌坊 618米', '西北桥 492米'}"
31,3.2.2,137.42,天府新区华阳剑南大道669号 欧香小镇,249.0,"{'剑南大道南段北 461米', '剑南大道元景路口 302米', '地铁骑龙站 699米', '伏龙小区 983米', '丽景路南 547米'}",{'骑龙 763米'}
36,3.2.2,138.22,高新区大源盛安街77号 天合汇锦城,520.0,"{'天府一街益州大道口 360米', '天府二街 989米'}",set()
33,3.1.2,114.54,新都三河聆湖路188号 中洲中央公园白鹭郡,148.0,"{'二台子蜀龙路口 462米', '二台子小区 624米', '保利198公园 575米', '二台子 630米'}",set()
18,4.2.2,133.86,双流蛟龙港康家宴路二段188号 万科第五城四期,215.0,"{'石万路东 540米', '草金路星空路口 784米', '康家堰路二段东 465米', '大井村 887米', '康家堰路二段西 94米', '地铁九江北站(东侧) 932米'}",set()
25,4.2.2,130.0,崇州崇州城区滨江路南三段399号 御江名门,135.0,"{'蜀州南路(南门加气站) 845米', '南河大桥 775米'}",set()
31,4.2.2,109.56,成华SM广场建兴路88号 金房玺座,295.0,"{'二环建设北路口 996米', '建设路口(BRT) 862米', '厂北路口 836米', '建设北路三段东 673米', '二环建设路口 868米'}",set()
33,3.2.1,73.98,天府新区南湖祥鹤一街48号 鑫苑鑫都汇(南区),138.0,"{'祥鹤二街中 754米', '天府鹤林东 665米', '鹤林公交站 803米', '瑞祥路 180米', '地铁南湖立交站 842米'}",{'南湖立交 829米'}
33,3.2.1,73.98,天府新区南湖祥鹤一街48号 鑫苑鑫都汇(南区),138.0,"{'祥鹤二街中 754米', '天府鹤林东 665米', '鹤林公交站 803米', '瑞祥路 180米', '地铁南湖立交站 842米'}",{'南湖立交 829米'}
16,1.1.1,52.59,锦江盐市口盐道街6号 美华大厦,148.0,"{'大业路 615米', '南门大桥 690米', '华西坝(华西口腔医院) 944米', '天府广场南 710米'}","{'华西坝 813米', '锦江宾馆 174米', '华西坝 688米', '文翁石室 998米'}"
49,3.2.1,101.74,龙泉驿大面金枫路68号 华润云庭,169.0,"{'龙安村 861米', '总部经济港 610米', '卓锦万黛 367米'}",{'龙安 939米'}
18,3.1.1,88.54,新都新繁蓝湾公馆1号 蓝湾公馆,79.0,"{'水云村 970米', '龙桥中学 620米', '鱼龙社区 79米', '古窑路 960米', '万里木业家私厂 576米'}",set()
32,2.2.1,78.49,温江光华大道江浦路888号 洲际银海湾,118.0,"{'江浦路 595米', '清泉北街华新路口 959米', '江安路鸣远路口 866米', '凤凰北大街口 520米', '江平路 668米', '凤凰北大街中 627米', '地铁凤凰大街站 633米', '江安路鸡鸣路口 709米', '光华大道林泉路口 681米'}",{'凤凰大街 700米'}
32,3.2.1,101.1,"龙泉驿大面金桉路1号,金梨路33号 百悦城",179.0,"{'南巷子 832米', '新建路中 377米', '天鹅湖小学 560米', '金旗大道 846米', '天鹅西湖南路 355米'}",set()
28,4.2.3,196.21,双流蛟龙港渔江路666号 蓝光长岛国际二期,338.0,"{'江美西路北 412米', '江雅北路 503米', '景泰绿岛 969米', '金李路 750米', '江美西路中 142米'}",set()
18,2.1.1,70.74,双流公兴牧鱼街899号 招商愉樾苑,118.0,"{'牧鱼街牧鱼二路口 143米', '成都市第七人民医院天府医院 790米', '牧鱼二路牧鱼街口 263米', '怡心街道 831米', '中国(四川)东盟自由贸易合作中心 868米', '牧鱼街南 632米'}",set()
8,3.2.2,91.6,都江堰玉堂水泽路38号 闲山悦三区,75.0,"{'外江大桥 880米', '玉堂 779米', '铁军路 594米', '文胜桥 476米', '融创文旅城 860米', '中信云栖谷 504米'}",set()
33,3.1.1,91.74,成华龙潭寺龙港二路6号 北湖龙珠,105.0,"{'华泰路北 648米', '龙港路西 525米', '龙潭立交东 836米', '龙潭寺下街菜市 644米', '地铁龙潭寺站 560米', '向龙公交站 629米'}",{'龙潭寺 548米'}
8,5.2.2,202.02,新都新繁繁川家具大道957号 海高伦美林国际社区,120.0,"{'三义桥 615米', '海湾路口 669米', '美林国际社区 31米', '峰瑞·新天地 703米', '金龙街口 882米', '新城豪庭 769米'}",set()
31,2.1.1,56.13,"高新区世纪城世纪城路996号,天府大道中段177号 天鹅湖北苑",100.0,"{'地铁世纪城站 177米', '天府二街东 708米'}",{'世纪城 303米'}
20,3.2.2,109.94,邛崃市邛崃城区邛窑大道北段386号 龙湖江天阙,99.8,"{'龙湖江天阙 145米', '十方国际 920米'}",set()
18,3.2.2,106.0,新都石油大学育英路181号 御城,98.0,"{'兴乐北路 889米', '地铁石油大学站 559米', '地铁成都医学院站 938米', '西南石油大学 779米'}","{'成都医学院 966米', '石油大学 582米'}"
7,2.2.1,112.07,成华双桥子双桥路274号 朝发苑,142.0,"{'新华公园 901米', '水碾河路 650米'}",{'玉双路 159米'}
6,2.2.2,99.35,温江温江城区万春路325号 电力公寓,56.0,"{'云溪路 934米', '迎晖路 822米', '综合市场 775米', '鱼凫路北 486米'}",set()
18,2.1.1,50.38,成华火车东站金马河路8号 新里柏仕公馆,96.0,"{'成渝立交南 282米', '富丽东方 659米', '万科路 890米', '地铁成渝立交站(C口) 964米', '成都东客站 809米', '万科南街北 815米', '成都东站-公交候车厅 762米', '万科路口 814米', '地铁成渝立交站 959米'}",set()
6,5.3.2,142.38,金堂金堂城区金沙南街39号 水韵金沙,70.0,"{'金堂客运中心 680米', '五横道 712米', '恒大御景半岛 855米', '金堂客运站 673米', '金堂客运中心 637米', '金外滩 537米', '客运中心站 702米'}",set()
17,4.2.2,174.13,武侯红牌楼永顺路71号 蓝光雍锦世家,480.0,"{'红牌楼西(BRT) 406米', '佳灵路 655米', '武侯大道口 590米', '红牌楼西 409米', '双楠路西 890米'}",{'红牌楼 646米'}
6,1.0.1,32.4,龙泉驿十陵江华路128号 江华社区,29.0,"{'成都大学后门 611米', '成都大学 991米', '成大二期(A区) 588米', '成大二期A区 458米', '十陵中学 578米', '招呼站 866米', '大草坪路友谊东路口 441米', '三五四厂 144米', '东景康庭 641米'}",set()
24,1.1.1,55.2,金堂金堂城区滨江路二段369号 城投润城,28.6,"{'四横道 891米', '大广场 976米', '三江渔府 765米', '金外滩 874米', '金堂客运中心 463米', '客运中心站 555米', '金堂客运站 487米', '五横道 379米', '金堂客运中心 512米'}",set()
9,3.2.2,133.73,武侯外双楠太平园东三街16号 双楠忆景,288.0,"{'太平园横一街 299米', '地铁武侯大道站 766米', '地铁武侯大道站(J2口) 571米'}",{'武侯大道 734米'}
7,4.2.2,131.8,武侯五大花园金雁路181号 交大花园北苑,150.0,"{'晋阳路东 872米', '阳公桥 964米'}","{'东坡路 925米', '东坡路 938米', '万寿桥 981米'}"
24,1.1.1,45.0,武侯桐梓林新光路1号 观南上域,94.0,"{'紫荆北路口(BRT) 663米', '玉林南路 550米', '芳草东街口 967米', '人南立交西 432米', '桐梓林小区 501米'}",{'桐梓林 974米'}
29,3.2.2,89.8,天府新区华阳协和下街588号 戛纳湾金棕榈,193.8,"{'锦江路 893米', '地铁警官学院站 532米', '双华桥西 808米', '和平路河池路口 482米'}",{'警官学院 541米'}
33,3.2.1,89.11,"锦江三圣乡樱花街1179号,芙蓉西路468号 绿地468公馆一期",218.0,"{'枫树街北 332米', '锦江大道北 756米', '航天立交 466米', '芙蓉西路西 220米', '赖家新桥 798米', '驿都大道西 809米', '锦江大道百日红路口 976米'}","{'航天立交 677米', '海桐街 714米'}"
33,3.2.2,86.44,"高新区中和观东三街78号,会龙路365号 中德英伦联邦(A区)",198.0,"{'新泽三路 804米', '梓州大道会龙大道口 306米', '梓州大道观东二街口 725米', '会龙大道 535米', '应龙南一路南 799米'}",set()
14,3.2.1,87.25,双流东升镇佳居路155号 佳兆业8号君樾,151.0,{'区一医院(空港医院) 212米'},set()
21,3.2.2,106.67,青羊外光华光华大道一段866号 元益花园,220.0,"{'西货站路日月大道口 574米', '万家湾 871米', '西货站路口 513米', '光华大道一段东 430米'}",set()
6,3.2.2,121.39,双流东升镇龙桥路6号 宗申赛纳维,162.0,"{'航都大道口 607米', '空港云展示中心 856米', '龙桥综合市场 435米', '龙桥路航港路口 991米', '龙桥路口 781米', '空港运动公园 283米'}",set()
28,3.2.1,95.07,锦江川师静缘路50号 自在轩,220.0,{'静康路中 831米'},"{'四川师大 876米', '四川师大 629米'}"
26,2.2.1,81.47,青羊天府广场上南大街2号 长富花园,189.0,"{'大业路 791米', '天府广场东 902米', '南门大桥 559米', '浆洗街 994米', '锦里中路 890米', '天府广场南 490米'}","{'天府广场 792米', '锦江宾馆 418米', '文翁石室 743米', '文翁石室 560米'}"
33,3.2.2,88.53,温江温江城区江安路196号 千禧河畔B区,178.0,"{'江安路鸡鸣路口 763米', '江安路鸣远路口 355米', '清泉北街华新路口 805米', '花都大道 673米'}",set()
6,4.2.2,137.92,金牛国宾蜀跃路6号 普罗旺斯,220.0,"{'育仁西路口 666米', '茶店子公交站 389米', '育仁公交站 966米', '羊犀立交北 450米', '羊犀立交西 583米', '茶店子客运站 520米', '茶店子公交枢纽站 386米'}",{'茶店子客运站 522米'}
34,3.2.1,89.63,"金牛欢乐谷北三环路一段393号,金丰路191号 华侨城原岸",181.0,"{'成彭立交桥 645米', '金丰路正义路口 754米', '友联村 344米'}",{'沙河源 916米'}
25,3.2.2,88.55,"郫都犀浦万福二街228号,华都大道东二段11号 成都后花园蝶院",165.0,"{'金粮路华都路口 791米', '陈家桅街 822米', '犀浦东站 780米'}",{'梓潼宫 933米'}
17,3.2.1,86.02,高新西区中海国际蓝岸街59号 橙郡二期,128.0,"{'蜀西路绿茵街口 787米', '金周路蜀西路口 821米', '蜀西路土龙路口 733米', '蜀西路阳光街口 559米', '中海国际 411米'}",set()
41,3.2.1,88.75,金牛马鞍路马鞍南街9号 恒大曹家巷广场东区,190.0,"{'马鞍北路 747米', '太升北路 927米', '星辉中路 950米'}","{'前锋路 663米', '红星桥 110米', '电子科大建设北路 978米'}"
15,2.1.1,88.99,双流东升镇宜城大街一段333号 富豪三里花城,127.0,"{'三里坝 773米', '地铁三里坝站 99米'}",{'三里坝 100米'}
38,4.3.2,169.09,高新区金融城蜀锦路88号 高盛公馆,500.0,"{'益州大道锦城大道口 420米', '高新区孵化园 866米', '交子公园 952米', '地铁孵化园站 220米', '益州大道交子大道口 700米', '锦城公园 817米', '地铁孵化园站(D口) 279米'}","{'金融城 660米', '孵化园 401米'}"
33,3.2.1,84.9,青羊石人大庆路74号 朗诗西溪里,220.0,"{'二环府南新区 940米', '成温立交桥 920米', '抚琴西路西 834米', '清江东路 968米', '府南新区(BRT) 908米', '大庆路 507米'}","{'草堂北路 701米', '白果林 195米'}"
